method,node,resolution,mean,median,q1,q3,iqr,lower,upper,tcilower,tciupper
GraphDecoder,Node≤10,640×640,0.94004124,0.94886463,0.91128031,0.975400632,0.064120322,0.852684147,1.045045113,0.931487432,0.948595048
GraphDecoder,Node≤10,960×960,0.946227422,0.953263601,0.916696307,0.9757759,0.059079593,0.864644212,1.041882991,0.939022592,0.953432252
GraphDecoder,Node≤10,1280×1280,0.951665318,0.957457492,0.928950489,0.977025365,0.048074876,0.885345178,1.029569806,0.944693798,0.958636838
GraphDecoder,Node≤20,640×640,0.958336361,0.967395998,0.935402846,0.983807753,0.048404907,0.894788638,1.040003359,0.951760664,0.964912059
GraphDecoder,Node≤20,960×960,0.963178118,0.969108262,0.951436916,0.982858406,0.03142149,0.921976027,1.016240497,0.9575763,0.968779937
GraphDecoder,Node≤20,1280×1280,0.972877249,0.979952215,0.963127547,0.993837218,0.030709671,0.933887709,1.026016722,0.96756428,0.978190218
GraphDecoder,Node≤30,640×640,0.968108964,0.973138487,0.957842878,0.988972781,0.031129903,0.926443633,1.019833342,0.962158426,0.974059501
GraphDecoder,Node≤30,960×960,0.976612078,0.982946762,0.971915427,0.992349311,0.020433884,0.952295936,1.013597588,0.971375207,0.98184895
GraphDecoder,Node≤30,1280×1280,0.980912203,0.989775771,0.975649109,0.996127547,0.020478438,0.959058114,1.020493428,0.976227704,0.985596702
OGER,Node≤10,640×640,0.551214905,0.553347277,0.487011186,0.608892931,0.121881745,0.37052466,0.736169895,0.533825363,0.568604447
OGER,Node≤10,960×960,0.576542132,0.575498268,0.485326735,0.651116074,0.165789339,0.32681426,0.824182277,0.55513562,0.597948643
OGER,Node≤10,1280×1280,0.542866904,0.535062385,0.468375837,0.617603246,0.14922741,0.31122127,0.7589035,0.524131859,0.56160195
OGER,Node≤20,640×640,0.707930656,0.710332767,0.670079295,0.737682661,0.067603367,0.608927717,0.811737818,0.695208706,0.720652606
OGER,Node≤20,960×960,0.717880562,0.712264851,0.674439534,0.758855178,0.084415645,0.585641384,0.838888319,0.703854712,0.731906412
OGER,Node≤20,1280×1280,0.704116411,0.704035719,0.669679679,0.734158577,0.064478898,0.607317372,0.800754066,0.691238494,0.716994329
OGER,Node≤30,640×640,0.817902784,0.821447651,0.766510627,0.87285959,0.106348963,0.661924207,0.980971096,0.80275531,0.833050257
OGER,Node≤30,960×960,0.838464289,0.843317179,0.788295999,0.898405306,0.110109308,0.678153217,1.008481141,0.823631938,0.853296641
OGER,Node≤30,1280×1280,0.81134907,0.810610483,0.757693728,0.859590224,0.101896496,0.657765739,0.963455227,0.795934423,0.826763718
VividGraph,Node≤10,640×640,0.465013311,0.457618324,0.414205558,0.528061791,0.113856234,0.286833973,0.628402675,0.448242054,0.481784568
VividGraph,Node≤10,960×960,0.469104984,0.463614379,0.42315574,0.529254856,0.106099116,0.304465705,0.622763053,0.452336056,0.485873911
VividGraph,Node≤10,1280×1280,0.456978026,0.450074404,0.405300791,0.516310915,0.111010124,0.283559218,0.61658959,0.440401398,0.473554655
VividGraph,Node≤20,640×640,0.671999974,0.665177333,0.627791254,0.718506592,0.090715338,0.529104326,0.80125034,0.657549738,0.686450209
VividGraph,Node≤20,960×960,0.641823007,0.629799538,0.596325504,0.692528875,0.096203371,0.485494482,0.774104595,0.626787716,0.656858298
VividGraph,Node≤20,1280×1280,0.635817305,0.625645523,0.591288952,0.69136192,0.100072969,0.47553607,0.775754977,0.620889425,0.650745186
VividGraph,Node≤30,640×640,0.713038937,0.712866021,0.667406517,0.761069846,0.093663329,0.572371028,0.853361015,0.699052853,0.727025021
VividGraph,Node≤30,960×960,0.687713017,0.69304161,0.643929681,0.736738228,0.092808547,0.55382879,0.832254431,0.672310351,0.703115683
VividGraph,Node≤30,1280×1280,0.678631856,0.686696346,0.630904491,0.726509878,0.095605386,0.543288267,0.830104425,0.664156655,0.693107058
