method,node,resolution,mean,median,q1,q3,iqr,lower,upper,tcilower,tciupper
GraphDecoder,Node≤10,640×640,2.994706743,2.992077589,2.986779213,2.998527169,0.011747956,2.974455655,3.009699523,2.992037236,2.99737625
GraphDecoder,Node≤10,960×960,3.038627992,3.009116411,2.999652385,3.020785331,0.021132946,2.977416992,3.04081583,3.011945387,3.065310596
GraphDecoder,Node≤10,1280×1280,3.031989217,3.028790474,3.017472804,3.043718934,0.02624613,2.989421278,3.06815967,3.027812458,3.036165976
GraphDecoder,Node≤20,640×640,3.062575054,3.036642432,3.027624071,3.049578488,0.021954417,3.003710806,3.069574058,3.018958881,3.106191227
GraphDecoder,Node≤20,960×960,3.015521593,3.015414,3.007042944,3.0209167,0.013873756,2.994603366,3.036224633,3.012991244,3.018051943
GraphDecoder,Node≤20,1280×1280,3.095099864,3.093055844,3.081620336,3.104723334,0.023102999,3.058401346,3.127710342,3.091369494,3.098830235
GraphDecoder,Node≤30,640×640,3.137947471,3.022262812,3.011436462,3.047440052,0.03600359,2.968257427,3.076268196,3.083844152,3.19205079
GraphDecoder,Node≤30,960×960,3.107488315,3.095851541,3.084687293,3.11505115,0.030363858,3.050305754,3.141397327,3.090386816,3.124589815
GraphDecoder,Node≤30,1280×1280,3.105178711,3.053524137,3.043098152,3.065353751,0.022255599,3.020140737,3.086907536,3.009114447,3.201242975
OGER,Node≤10,640×640,2.8632897,2.811859608,2.803890347,2.824649394,0.020759046,2.780721039,2.842998177,2.816305935,2.910273464
OGER,Node≤10,960×960,6.51950505,6.437610507,6.413788617,6.47359401,0.059805393,6.347902417,6.527318597,6.429139449,6.609870652
OGER,Node≤10,1280×1280,12.32824277,11.37850344,11.32874388,11.46924567,0.140501797,11.16775075,11.58925614,11.96253788,12.69394765
OGER,Node≤20,640×640,2.983321052,2.945308208,2.9336133,2.956866264,0.023252964,2.910428762,2.980187654,2.941599521,3.025042583
OGER,Node≤20,960×960,6.455710466,6.439577222,6.417720497,6.463537693,0.045817196,6.370851427,6.508303016,6.441975871,6.469445061
OGER,Node≤20,1280×1280,11.3538307,11.18886578,11.16243362,11.22137797,0.058944345,11.10044926,11.2772823,11.17152801,11.5361334
OGER,Node≤30,640×640,3.096693189,2.885156989,2.870357394,2.905665874,0.03530848,2.832194269,2.938119709,3.007855671,3.185530707
OGER,Node≤30,960×960,6.53833951,6.469898343,6.451404631,6.499105394,0.047700763,6.398347199,6.541449487,6.446317537,6.630361483
OGER,Node≤30,1280×1280,13.18134975,11.61278713,11.54911745,16.00864702,4.459529579,4.923492759,18.3020815,12.71762365,13.64507584
VividGraph,Node≤10,640×640,3.373139067,3.308824778,3.268674672,3.375309229,0.106634557,3.148872942,3.468776613,3.325791409,3.420486725
VividGraph,Node≤10,960×960,3.468345399,3.350022197,3.329060197,3.377286077,0.04822588,3.277683377,3.422361016,3.385215108,3.55147569
VividGraph,Node≤10,1280×1280,3.354201226,3.341420174,3.327445269,3.36589855,0.038453281,3.283740252,3.399100095,3.345542094,3.362860359
VividGraph,Node≤20,640×640,3.42437144,3.412271619,3.381839216,3.448789954,0.066950738,3.311845511,3.512697726,3.410929147,3.437813734
VividGraph,Node≤20,960×960,3.50398823,3.422646165,3.384781957,3.456988335,0.072206378,3.314336598,3.530955732,3.340493962,3.667482498
VividGraph,Node≤20,1280×1280,3.615033488,3.594927549,3.491176844,3.705897272,0.214720428,3.272846907,3.917008191,3.571051431,3.659015546
VividGraph,Node≤30,640×640,3.569876707,3.545635343,3.499009609,3.593972564,0.094962955,3.403190911,3.688079774,3.530625746,3.609127667
VividGraph,Node≤30,960×960,3.522725582,3.504132271,3.459217429,3.546376467,0.087159038,3.373393714,3.634870827,3.500815751,3.544635413
VividGraph,Node≤30,1280×1280,3.637187099,3.632543683,3.570780456,3.669158995,0.098378539,3.484975874,3.780111492,3.612268886,3.662105312
