Q1@text@usefulness,Q1@text@transparency,Q1@visual@usefulness,Q1@visual@transparency,Q2@text@usefulness,Q2@text@transparency,Q2@visual@usefulness,Q2@visual@transparency,Q3@text@usefulness,Q3@text@transparency,Q3@visual@usefulness,Q3@visual@transparency,Q4@text@usefulness,Q4@text@transparency,Q4@visual@usefulness,Q4@visual@transparency,Q5@text@usefulness,Q5@text@transparency,Q5@visual@usefulness,Q5@visual@transparency,Q6@text@usefulness,Q6@text@transparency,Q6@visual@usefulness,Q6@visual@transparency,Q7@text@usefulness,Q7@text@transparency,Q7@visual@usefulness,Q7@visual@transparency,Q8@text@usefulness,Q8@text@transparency,Q8@visual@usefulness,Q8@visual@transparency,Q9@text@usefulness,Q9@text@transparency,Q9@visual@usefulness,Q9@visual@transparency,Q10@text@usefulness,Q10@text@transparency,Q10@visual@usefulness,Q10@visual@transparency,Q11@text@usefulness,Q11@text@transparency,Q11@visual@usefulness,Q11@visual@transparency,Q12@text@usefulness,Q12@text@transparency,Q12@visual@usefulness,Q12@visual@transparency
2,2,5,5,5,5,5,5,3,4,4,4,4,3,5,4,4,4,4,4,5,4,5,5,2,2,5,5,4,5,5,5,2,3,3,4,4,4,4,5,3,2,4,4,4,2,4,4
3,3,5,5,4,2,5,5,3,2,5,5,4,2,5,5,5,2,5,4,4,3,5,5,4,3,5,5,3,3,5,5,5,2,5,5,4,2,5,5,3,3,5,5,3,3,5,5
4,2,4,5,3,3,4,4,4,3,4,4,4,2,4,4,2,2,2,4,3,2,4,5,5,5,4,5,4,2,4,4,4,2,4,5,3,2,4,5,4,2,5,5,4,2,4,5
5,2,4,2,4,4,4,4,3,3,3,3,3,5,3,5,3,1,5,3,5,4,5,5,3,2,5,4,3,1,4,4,4,4,4,4,3,4,4,5,4,2,4,3,5,4,5,5
4,4,5,5,2,4,4,4,3,2,5,2,3,5,3,5,1,2,1,4,5,2,5,2,4,2,4,5,4,4,5,5,3,4,5,5,3,3,3,5,3,1,5,3,3,3,5,4
3,1,5,1,2,3,2,3,2,3,3,3,4,3,4,3,2,1,1,1,4,4,4,4,4,4,5,5,3,2,3,5,3,4,3,5,4,3,5,4,3,1,4,5,4,1,5,2
4,3,5,5,4,3,4,3,4,2,3,2,1,3,1,4,1,2,3,2,5,4,5,5,3,1,3,3,3,1,3,4,3,3,3,3,4,3,5,3,3,1,3,3,3,5,3,4
4,1,5,1,3,4,3,5,2,1,1,4,3,3,4,2,2,3,1,4,4,3,5,4,3,2,4,4,3,3,4,4,4,4,5,5,4,2,5,4,3,1,3,2,4,5,4,5
4,1,5,4,2,4,2,4,3,2,5,4,4,4,5,4,3,1,3,4,5,3,4,3,3,2,4,1,4,4,5,5,4,4,5,5,4,2,5,3,1,2,1,3,4,2,5,4
4,2,5,3,2,4,2,4,1,1,1,4,3,3,4,3,2,1,2,3,3,3,3,3,3,2,5,4,3,1,4,3,4,4,5,5,3,3,4,3,5,4,5,5,4,4,5,5
