Hand-drawn Sketch@Color,Hand-drawn Sketch@Position,Hand-drawn Sketch@Node,Hand-drawn Sketch@Connection,Mindmap@Color,Mindmap@Position,Mindmap@Text,Mindmap@Node,Mindmap@Connection,Modeling Graph@Color,Modeling Graph@Position,Modeling Graph@Text,Modeling Graph@Node,Modeling Graph@Connection,Flowchart@Color,Flowchart@Position,Flowchart@Text,Flowchart@Node,Flowchart@Connection,
87,96,88,90,91,84,77,87,84,87,96,94,86,89,90,84,89,90,84,
89,73,80,81,89,97,94,96,93,89,95,96,88,96,88,95,86,92,88,
86,90,88,84,89,89,95,88,97,90,97,95,90,90,91,84,92,87,89,
87,94,92,95,94,90,93,92,96,92,89,97,90,92,88,90,94,85,83,
85,85,93,92,87,92,87,94,78,90,95,91,90,94,88,94,88,92,94,
84,89,95,88,90,93,85,91,95,81,84,79,80,79,91,88,91,92,97,
92,86,93,87,92,95,91,96,95,96,95,88,95,96,93,97,90,96,93,
91,85,92,88,94,89,93,86,93,93,95,94,96,85,94,79,85,95,80,
89,95,87,91,81,91,86,93,90,79,93,88,92,88,92,85,91,90,89,
93,82,74,77,87,92,91,87,92,91,85,96,90,87,97,88,83,91,87,
88,90,90,83,92,87,93,89,85,90,89,85,91,88,91,83,89,85,87,
79,87,92,89,94,84,93,88,93,89,86,92,84,85,92,82,89,84,92,
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,75,55,100,
79,79,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,96,99,
100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,87,100,90,65,
79,87,83,87,86,92,95,87,83,89,86,94,82,94,87,84,88,94,82,
84,84,86,97,89,85,95,88,91,96,92,93,84,91,81,89,86,93,84,
75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,100,92,
84,85,88,86,92,85,94,85,86,93,80,84,91,85,91,82,83,83,99,
90,86,96,87,93,91,92,87,98,85,99,91,100,88,85,89,94,90,97,
63,100,66,65,100,85,64,60,100,93,100,88,89,98,86,77,82,76,80,
88,100,79,96,91,87,95,93,90,91,93,95,88,92,89,94,93,91,90,
92,87,87,99,90,92,94,83,98,94,86,95,88,93,88,90,89,87,99,
90,83,100,100,100,100,100,100,95,100,100,100,100,90,100,78,80,59,100,
91,83,94,89,92,90,89,89,88,90,87,85,87,88,82,82,90,90,90,
82,90,86,90,94,89,85,88,89,88,85,94,87,90,87,88,90,90,89,
86,90,81,93,90,90,99,93,86,90,87,91,91,86,88,87,90,85,94,
88,88,95,85,89,87,87,96,83,87,87,91,86,82,87,84,92,90,86,
100,82,90,93,94,85,90,82,87,81,94,85,96,86,84,89,89,90,95,
86,79,97,79,92,85,95,90,85,92,88,87,89,86,89,88,96,89,95,
94,94,94,94,95,96,96,95,94,94,94,95,94,93,93,94,93,91,91,
95,96,94,96,94,96,96,94,96,95,96,95,96,95,95,96,96,95,96,
98,98,97,97,96,94,94,94,96,96,97,97,95,96,95,97,95,95,95,
97,96,96,96,96,96,95,96,97,96,96,95,96,97,96,95,96,96,95,
90,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
98,97,98,97,97,96,97,96,96,97,96,95,95,94,94,94,94,96,94,
96,95,95,95,94,93,92,90,92,96,97,95,95,95,96,96,96,97,95,
96,98,97,98,96,96,96,96,96,95,95,94,96,97,96,96,96,96,97,
98,98,96,96,97,96,94,94,95,96,96,95,94,94,92,93,93,93,94,
98,97,96,96,92,90,93,95,94,95,95,94,92,92,95,95,94,94,94,
96,95,95,94,95,95,94,95,93,95,95,96,96,96,95,92,92,94,91,
95,96,96,96,92,92,95,94,94,96,95,95,97,94,94,95,94,96,95,
95,95,96,96,96,95,97,96,93,94,95,96,95,94,94,95,95,96,95,
88,90,86,90,90,90,83,90,84,90,86,94,88,100,88,82,87,87,88,
91,86,96,89,92,86,92,86,90,85,89,85,90,85,82,90,89,84,90,
93,86,88,89,88,87,91,85,84,90,90,82,91,89,86,82,86,93,81,
89,82,91,83,86,83,84,89,81,81,99,91,85,89,89,82,90,88,90,
88,88,88,95,92,84,87,87,90,88,89,94,86,89,90,82,88,90,88,
92,87,94,90,86,85,90,91,92,90,88,90,87,94,88,92,90,91,88,
89,85,91,87,88,90,88,91,84,78,89,83,89,85,87,85,97,87,92,
89,79,93,85,86,92,100,87,85,89,87,89,87,97,88,90,90,90,83,
